2024-03-05 11:13:41.1860 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
2024-03-05 11:19:11.0920 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
2024-03-05 11:21:54.9708 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
2024-03-05 11:23:41.6635 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
2024-03-05 11:24:24.1758 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
2024-03-05 11:28:17.6208 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
2024-03-05 11:29:25.3074 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
2024-03-05 11:31:48.2670 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
2024-03-05 11:32:40.1726 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
2024-03-05 11:34:28.3667 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
2024-03-05 11:34:41.3495 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
2024-03-05 11:34:52.6068 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
2024-03-05 11:38:28.6482 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
2024-03-05 11:41:04.0374 ERROR Catch exception:Unable to resolve service for type 'MusicShop.Application.Services.Common.Interfaces.ICategoryServices' while attempting to activate 'MusicShop.Presentation.Api.Controllers.CategoryController'.|| trace:0
